iso3,sex,age,notes,inc,lo,hi,untreated,untreated.sd,hiv,hiv.sd,propm,propm.sd,cfr,cfr.sd,propmp,propmp.sd,cfrp,cfrp.sd,TBM.hn.treated,TBM.hn.untreated,TBM.hp.treated,TBM.hp.untreated,untreated.hn.sd,untreated.hp.sd,TBM.hn.treated.sd,TBM.hn.untreated.sd,TBM.hp.treated.sd,TBM.hp.untreated.sd,TBMdeaths.hn.treated,TBMdeaths.hn.untreated,TBMdeaths.hn.treated.sd,TBMdeaths.hn.untreated.sd,TBMdeaths.hp.treated,TBMdeaths.hp.untreated,TBMdeaths.hp.treated.sd,TBMdeaths.hp.untreated.sd,g_whoregion,TBM.hn.untreated2,TBM.hp.untreated2,TBM.hn.untreated3,TBM.hp.untreated3,TBM.hn.untreated2.sd,TBM.hp.untreated2.sd,TBMdeaths.hn.untreated2,TBMdeaths.hp.untreated2,TBMdeaths.hn.untreated3,TBMdeaths.hp.untreated3,TBMdeaths.hn.untreated2.sd,TBMdeaths.hp.untreated2.sd,TBM.hn.untreated3.sd,TBM.hp.untreated3.sd,TBMdeaths.hn.untreated3.sd,TBMdeaths.hp.untreated3.sd
AFG,F,15-24,6304,7400,0,18000,1096,4591.83673469388,0.0046,0.00163265306122449,0.0159101897261297,0.00336815409229812,0.0665756399305238,0.0124063327029266,0.061849178102523,0.0230088668946282,0.402040926441988,0.0450033907947649,99.8364659877674,17.3573551273149,1.7935272062882,0.31181881632168,4570.71463597775,21.1981074493354,21.135806667764,72.8137126656494,145.047896903736,1.31620727759001,6.64667661153759,17.3573551273149,1.87460804402981,72.8137126656494,0.72107133961502,0.31181881632168,58.3152467088138,1.31620727759001,EMR,8.67867756365745,0.15590940816084,34.7147102546298,0.62363763264336,36.4068563328247,0.658103638795003,8.67867756365745,0.15590940816084,34.7147102546298,0.62363763264336,36.4068563328247,0.658103638795003,145.627425331299,2.63241455518001,145.627425331299,2.63241455518001
AFG,F,25-34,5100,6000,0,15000,900,3826.5306122449,0.0046,0.00163265306122449,0.014996422070814,0.00335008231708421,0.103605183848856,0.0123666486683492,0.0681370359631587,0.0225046534935618,0.500980557124196,0.0511921002628497,76.1299364993701,13.4346946763594,1.5984948636957,0.282087328887477,3808.92885485477,17.6632653061224,17.0072852856832,57.1990947838556,114.773732817165,1.20712345038737,7.88745606741897,13.4346946763594,1.99779005636222,57.1990947838556,0.800814847374439,0.282087328887477,57.4994668383584,1.20712345038737,EMR,6.71734733817972,0.141043664443739,26.8693893527189,0.564174657774954,28.5995473919278,0.603561725193684,6.71734733817972,0.141043664443739,26.8693893527189,0.564174657774954,28.5995473919278,0.603561725193684,114.398189567711,2.41424690077473,114.398189567711,2.41424690077473
AFG,F,35-44,3522,5000,0,12000,1478,3061.22448979592,0.0046,0.00163265306122449,0.0180926482735249,0.00337597222545753,0.136697875615532,0.012414166090121,0.0659625922130758,0.0224497110960428,0.52099069335459,0.0547808451718236,63.4291846061457,26.6179258511878,1.06867314896248,0.44846647193826,3047.1438126057,14.2868905871395,11.8359366193105,55.3541752902494,79.0678824802627,0.954680390537122,8.67063478768552,26.6179258511878,1.79938453376153,55.3541752902494,0.556768764847397,0.44846647193826,41.1936725148614,0.954680390537122,EMR,13.3089629255939,0.22423323596913,53.2358517023755,0.89693294387652,27.6770876451247,0.477340195268561,13.3089629255939,0.22423323596913,53.2358517023755,0.89693294387652,27.6770876451247,0.477340195268561,110.708350580499,1.90936078107424,110.708350580499,1.90936078107424
AFG,F,45-54,2902,4000,0,10000,1098,2551.02040816327,0.0046,0.00163265306122449,0.0166385609367796,0.00336755839795547,0.185829045634655,0.012768903400215,0.0576026666866364,0.0225553393942318,0.52175562343224,0.0649713552836343,48.0629923608771,18.1851018650045,0.768949518133247,0.290939548900863,2539.28634706299,11.8708317062349,9.72801968378837,42.4100821143018,65.4555949220607,0.693216588255055,8.93150000076751,18.1851018650045,1.90908279268416,42.4100821143018,0.401203735221533,0.290939548900863,34.1518612779451,0.693216588255055,EMR,9.09255093250226,0.145469774450432,36.370203730009,0.581879097801726,21.2050410571509,0.346608294127528,9.09255093250226,0.145469774450432,36.370203730009,0.581879097801726,21.2050410571509,0.346608294127528,84.8201642286037,1.38643317651011,84.8201642286037,1.38643317651011
AFG,F,55-64,2594,3700,0,9400,1106,2397.95918367347,0.0046,0.00163265306122449,0.0173749679840095,0.00337586157275103,0.219047784419007,0.0130169711095406,0.0579774904904238,0.023269532590215,0.822184739680894,0.0874586033506401,44.8633418825483,19.1283177031991,0.691810607527933,0.29496628061908,2386.92925444097,11.1774330943614,8.71701337790091,41.6390120725099,60.3611675390177,0.658764360916028,9.82721564100464,19.1283177031991,1.99674956153513,41.6390120725099,0.568796124258835,0.29496628061908,49.6280677025684,0.658764360916028,EMR,9.56415885159953,0.14748314030954,38.2566354063981,0.58993256123816,20.819506036255,0.329382180458014,9.56415885159953,0.14748314030954,38.2566354063981,0.58993256123816,20.819506036255,0.329382180458014,83.2780241450199,1.31752872183206,83.2780241450199,1.31752872183206
AFG,F,65+,1799,3000,0,7400,1201,1887.75510204082,0.0046,0.00163265306122449,0.0183985941258001,0.00342644188804521,0.339795476019764,0.0135431220852337,0.0480905802109346,0.0243104237575519,1,0.139162605735828,32.9468151064857,21.9950666719785,0.397968787477568,0.265681219433329,1879.07245162983,8.90230226342252,6.13605174206182,34.8141121692607,43.7344523398359,0.4486891969715,11.1951787224435,21.9950666719785,2.13221312741311,34.8141121692607,0.397968787477568,0.265681219433329,43.7344874060811,0.4486891969715,EMR,10.9975333359893,0.132840609716665,43.9901333439571,0.531362438866659,17.4070560846303,0.22434459848575,10.9975333359893,0.132840609716665,43.9901333439571,0.531362438866659,17.4070560846303,0.22434459848575,69.6282243385214,0.897378393942999,69.6282243385214,0.897378393942999
AFG,M,15-24,4355,5900,0,15000,1545,3826.5306122449,0.0046,0.00163265306122449,0.0145076048544532,0.00347061107666213,0.078055067987003,0.0124404346980826,0.049690394677846,0.0242803409685763,0.531145307085716,0.0514654440498722,62.8899882930944,22.3111439524296,0.995447676581289,0.353149634975452,3808.92940666977,17.7818612567489,15.0453381005739,55.5156161633091,105.74088491815,0.90028013220985,4.90888231191931,22.3111439524296,1.41111638992942,55.5156161633091,0.528727361865531,0.353149634975452,56.1637981572356,0.90028013220985,EMR,11.1555719762148,0.176574817487726,44.6222879048592,0.706299269950903,27.7578080816545,0.450140066104925,11.1555719762148,0.176574817487726,44.6222879048592,0.706299269950903,27.7578080816545,0.450140066104925,111.031232326618,1.8005602644197,111.031232326618,1.8005602644197
AFG,M,25-34,3255,5200,0,13000,1945,3316.32653061225,0.0046,0.00163265306122449,0.0135938371991375,0.00345439034156893,0.115084611905335,0.0122976097554049,0.0559782525384817,0.0238085614718189,0.526721641569678,0.0296730105370962,44.0443995588099,26.3183892909018,0.838162375258687,0.500837425461796,3301.07295593352,15.582105227855,11.1925511166063,45.3698792228932,77.4968675907705,0.897892686152788,5.06883262982914,26.3183892909018,1.39733735348589,45.3698792228932,0.441478262198196,0.500837425461796,40.8192848906903,0.897892686152788,EMR,13.1591946454509,0.250418712730898,52.6367785818035,1.00167485092359,22.6849396114466,0.448946343076394,13.1591946454509,0.250418712730898,52.6367785818035,1.00167485092359,22.6849396114466,0.448946343076394,90.7397584457864,1.79578537230558,90.7397584457864,1.79578537230558
AFG,M,35-44,2028,4900,0,12000,2872,3061.22448979592,0.0046,0.00163265306122449,0.0166900634018484,0.0034764269323307,0.148177303672012,0.0123722593680627,0.0538038087883988,0.0237404490144475,0.497643523302301,0.044363981708375,33.6917503154854,47.7133663244941,0.501924971425215,0.710812878665294,3047.14646486944,14.8417959758387,7.01798049983333,51.8190364648318,48.1456306012995,0.857930240578559,4.99235271773928,47.7133663244941,1.12033987987247,51.8190364648318,0.249779711213451,0.710812878665294,23.9593715914913,0.857930240578559,EMR,23.8566831622471,0.355406439332647,95.4267326489882,1.42162575733059,25.9095182324159,0.428965120289279,23.8566831622471,0.355406439332647,95.4267326489882,1.42162575733059,25.9095182324159,0.428965120289279,103.638072929664,1.71586048115712,103.638072929664,1.71586048115712
AFG,M,45-54,1705,3700,0,9200,1995,2346.9387755102,0.0046,0.00163265306122449,0.0152359760651031,0.00346937684892117,0.197308473691134,0.0127174877569712,0.0454438832619594,0.0238209870662138,0.671439197994505,0.0776647487137166,25.8578434307222,30.2559516975312,0.356416376423548,0.417038516695001,2336.14512776051,11.2765612216782,5.88822995014206,36.2541021666758,40.6147829478945,0.55713013309476,5.10197162026011,30.2559516975312,1.20744111044466,36.2541021666758,0.239311925937934,0.417038516695001,27.2703713381529,0.55713013309476,EMR,15.1279758487656,0.208519258347501,60.5119033950625,0.834077033390003,18.1270510833379,0.27856506654738,15.1279758487656,0.208519258347501,60.5119033950625,0.834077033390003,18.1270510833379,0.27856506654738,72.5082043333515,1.11426026618952,72.5082043333515,1.11426026618952
AFG,M,55-64,1945,3300,0,8200,1355,2091.83673469388,0.0046,0.00163265306122449,0.015972383112333,0.00347632909158072,0.230527212475486,0.0129973412268485,0.0458187070657468,0.0245201412046687,0.973828275696671,0.101372816572153,30.9233802417816,21.543023253272,0.409939972117237,0.2855880011408,2082.2154609118,9.87347719161767,6.73054848059847,33.5868311702894,47.6916746430806,0.477509077373005,7.12868064745744,21.543023253272,1.60278655759165,33.5868311702894,0.39921113618607,0.2855880011408,46.4435198748612,0.477509077373005,EMR,10.771511626636,0.1427940005704,43.0860465065441,0.5711760022816,16.7934155851447,0.238754538686502,10.771511626636,0.1427940005704,43.0860465065441,0.5711760022816,16.7934155851447,0.238754538686502,67.1736623405789,0.95501815474601,67.1736623405789,0.95501815474601
