Region,TBM.hn.treated,TBM.hp.treated,TBM.treated,TBM.hn.untreated,TBM.hp.untreated,TBM.untreated,TBM.hn.total,TBM.hp.total,TBM.total,TBMdeaths.hn.treated,TBMdeaths.hp.treated,TBMdeaths.treated,TBMdeaths.hn.untreated,TBMdeaths.hp.untreated,TBMdeaths.untreated,TBMdeaths.hn.total,TBMdeaths.hp.total,TBMdeaths.total
AFR,"12,000 (11,500 - 12,500)","16,800 (11,900 - 21,700)","28,800 (23,900 - 33,700)","19,900 (14,500 - 25,300)","18,700 (11,400 - 26,000)","38,600 (29,500 - 47,700)","31,900 (26,500 - 37,300)","35,500 (26,800 - 44,300)","67,400 (57,100 - 77,800)","1,880 (1,800 - 1,960)","9,700 (6,890 - 12,500)","11,600 (8,770 - 14,400)","19,900 (14,500 - 25,300)","18,700 (11,400 - 26,000)","38,600 (29,500 - 47,700)","21,800 (16,300 - 27,200)","28,400 (20,600 - 36,300)","50,200 (40,700 - 59,700)"
AMR,"3,190 (3,010 - 3,370)","1,180 (0 - 2,570)","4,370 (2,970 - 5,760)","1,330 (750 - 1,920)",481 (253 - 710),"1,810 (1,190 - 2,440)","4,520 (3,910 - 5,130)","1,660 (255 - 3,070)","6,180 (4,650 - 7,710)",543 (512 - 575),"720 (0 - 1,590)","1,260 (391 - 2,140)","1,330 (750 - 1,920)",481 (253 - 710),"1,810 (1,190 - 2,440)","1,880 (1,290 - 2,460)","1,200 (300 - 2,100)","3,080 (2,000 - 4,150)"
EMR,"7,110 (6,490 - 7,740)","209 (0 - 4,550)","7,320 (2,930 - 11,700)","8,160 (2,950 - 13,400)",223 (97 - 350),"8,380 (3,170 - 13,600)","15,300 (10,000 - 20,500)","432 (0 - 4,780)","15,700 (8,890 - 22,500)","1,190 (1,080 - 1,300)","127 (0 - 2,920)","1,320 (0 - 4,110)","8,160 (2,950 - 13,400)",223 (97 - 350),"8,380 (3,170 - 13,600)","9,350 (4,140 - 14,600)","350 (0 - 3,140)","9,700 (3,790 - 15,600)"
EUR,"3,030 (2,870 - 3,200)","1,380 (0 - 2,790)","4,420 (3,000 - 5,830)","872 (136 - 1,610)",297 (0 - 905),"1,170 (214 - 2,120)","3,900 (3,150 - 4,660)","1,680 (150 - 3,210)","5,590 (3,880 - 7,290)",545 (516 - 575),"846 (0 - 1,700)","1,390 (533 - 2,250)","872 (136 - 1,610)",297 (0 - 905),"1,170 (214 - 2,120)","1,420 (681 - 2,150)","1,140 (91 - 2,200)","2,560 (1,280 - 3,840)"
SEA,"45,000 (41,100 - 49,000)","5,020 (0 - 33,300)","50,100 (21,500 - 78,700)","28,700 (3,550 - 53,800)","2,930 (0 - 6,040)","31,600 (6,290 - 56,900)","73,700 (48,300 - 99,100)","7,950 (0 - 36,400)","81,700 (43,500 - 120,000)","7,680 (6,970 - 8,380)","3,090 (0 - 21,300)","10,800 (0 - 29,000)","28,700 (3,550 - 53,800)","2,930 (0 - 6,040)","31,600 (6,290 - 56,900)","36,300 (11,200 - 61,500)","6,020 (0 - 24,500)","42,400 (11,200 - 73,600)"
WPR,"21,200 (19,300 - 23,000)","1,470 (0 - 14,600)","22,600 (9,420 - 35,900)","10,600 (2,260 - 19,000)","821 (281 - 1,360)","11,400 (3,070 - 19,800)","31,800 (23,200 - 40,400)","2,290 (0 - 15,400)","34,100 (18,400 - 49,700)","4,350 (3,880 - 4,810)","997 (0 - 11,800)","5,340 (0 - 16,100)","10,600 (2,260 - 19,000)","821 (281 - 1,360)","11,400 (3,070 - 19,800)","15,000 (6,600 - 23,300)","1,820 (0 - 12,600)","16,800 (3,140 - 30,400)"
Global,"91,600 (87,100 - 96,000)","26,000 (0 - 58,000)","118,000 (85,400 - 150,000)","69,500 (42,000 - 97,100)","23,500 (15,500 - 31,500)","93,000 (64,400 - 122,000)","161,000 (133,000 - 189,000)","49,600 (16,600 - 82,500)","211,000 (168,000 - 254,000)","16,200 (15,300 - 17,000)","15,500 (0 - 37,100)","31,700 (10,100 - 53,300)","69,500 (42,000 - 97,100)","23,500 (15,500 - 31,500)","93,000 (64,400 - 122,000)","85,700 (58,200 - 113,000)","39,000 (16,000 - 62,000)","125,000 (88,800 - 161,000)"
