"TBM, HIV negative","Total number of TBM Cases",,"TBM Deaths",
,Male,Female,Male,Female
15-24,74,84,12,6
25-34,105,81,14,19
35-44,124,62,27,14
45-54,79,54,25,14
55-64,72,38,21,10
>=65,64,67,24,29
Total,518,386,123,92
